,State,numb_killed
0,Alabama,10
1,Arizona,3
2,Arkansas,4
3,California,49
4,Colorado,7
5,Connecticut,0
6,Delaware,5
7,District of Columbia,2
8,Florida,46
9,Georgia,3
10,Illinois,21
11,Indiana,7
12,Kansas,1
13,Kentucky,7
14,Louisiana,9
15,Maryland,13
16,Massachusetts,0
17,Michigan,10
18,Minnesota,1
19,Mississippi,1
20,Missouri,8
21,Nebraska,1
22,Nevada,3
23,New Jersey,4
24,New Mexico,5
25,New York,5
26,North Carolina,13
27,Ohio,9
28,Oklahoma,2
29,Pennsylvania,31
30,South Carolina,5
31,Tennessee,19
32,Texas,28
33,Utah,0
34,Virginia,2
35,Washington,4
36,Wisconsin,1
