,year,months,State,numb_killed
0,13,Apr,Arizona,2
1,13,Apr,California,1
2,13,Apr,Florida,1
3,13,Apr,Illinois,6
4,13,Apr,Kentucky,1
5,13,Apr,Louisiana,0
6,13,Apr,New York,1
7,13,Apr,North Carolina,0
8,13,Apr,Ohio,4
9,13,Apr,Pennsylvania,2
10,13,Apr,South Carolina,1
11,13,Apr,Tennessee,2
12,13,Apr,Washington,5
13,13,Aug,California,3
14,13,Aug,Delaware,0
15,13,Aug,Florida,4
16,13,Aug,Illinois,2
17,13,Aug,Indiana,0
18,13,Aug,Maryland,2
19,13,Aug,Michigan,0
20,13,Aug,Minnesota,2
21,13,Aug,Missouri,3
22,13,Aug,New Jersey,2
23,13,Aug,New York,0
24,13,Aug,Ohio,0
25,13,Aug,Oklahoma,4
26,13,Aug,Pennsylvania,3
27,13,Aug,South Carolina,2
28,13,Aug,Texas,4
29,13,Aug,Virginia,1
30,13,Dec,Alabama,3
31,13,Dec,Delaware,0
32,13,Dec,Florida,3
33,13,Dec,Kansas,4
34,13,Dec,Louisiana,5
35,13,Dec,Michigan,1
36,13,Dec,New Jersey,4
37,13,Dec,New York,1
38,13,Dec,North Carolina,0
39,13,Dec,Texas,0
40,13,Feb,California,6
41,13,Feb,Delaware,3
42,13,Feb,Georgia,0
43,13,Feb,Illinois,0
44,13,Feb,Louisiana,0
45,13,Feb,Michigan,0
46,13,Feb,Oklahoma,1
47,13,Feb,Tennessee,0
48,13,Feb,Utah,4
49,13,Jan,California,1
50,13,Jan,District of Columbia,0
51,13,Jan,Louisiana,2
52,13,Jan,Maryland,1
53,13,Jan,Missouri,1
54,13,Jan,New Mexico,5
55,13,Jan,Ohio,1
56,13,Jan,Oklahoma,4
57,13,Jan,Pennsylvania,0
58,13,Jan,Tennessee,1
59,13,Jul,Alabama,0
60,13,Jul,California,3
61,13,Jul,Connecticut,0
62,13,Jul,District of Columbia,0
63,13,Jul,Florida,8
64,13,Jul,Illinois,2
65,13,Jul,Kansas,1
66,13,Jul,Kentucky,2
67,13,Jul,Maryland,0
68,13,Jul,Michigan,1
69,13,Jul,Mississippi,0
70,13,Jul,New Jersey,1
71,13,Jul,New Mexico,0
72,13,Jul,New York,1
73,13,Jul,North Carolina,2
74,13,Jul,Ohio,0
75,13,Jul,Oklahoma,1
76,13,Jul,Texas,4
77,13,Jul,Washington,0
78,13,Jul,West Virginia,4
79,13,Jun,California,11
80,13,Jun,Colorado,0
81,13,Jun,Georgia,0
82,13,Jun,Illinois,4
83,13,Jun,Indiana,0
84,13,Jun,Louisiana,0
85,13,Jun,Maryland,1
86,13,Jun,Missouri,2
87,13,Jun,New York,0
88,13,Jun,North Carolina,0
89,13,Jun,Pennsylvania,0
90,13,Jun,Rhode Island,1
91,13,Jun,South Carolina,3
92,13,Jun,Tennessee,1
93,13,Jun,Texas,1
94,13,Jun,Virginia,1
95,13,Jun,Wisconsin,0
96,13,Mar,California,8
97,13,Mar,District of Columbia,0
98,13,Mar,Florida,0
99,13,Mar,Georgia,2
100,13,Mar,Illinois,0
101,13,Mar,Indiana,1
102,13,Mar,Louisiana,1
103,13,Mar,Michigan,0
104,13,Mar,Mississippi,2
105,13,Mar,Missouri,1
106,13,Mar,New York,7
107,13,Mar,Washington,3
108,13,May,Arizona,0
109,13,May,California,5
110,13,May,Georgia,0
111,13,May,Illinois,0
112,13,May,Indiana,5
113,13,May,Louisiana,0
114,13,May,Michigan,2
115,13,May,New Jersey,0
116,13,May,North Carolina,0
117,13,May,Ohio,0
118,13,May,Pennsylvania,0
119,13,May,Tennessee,5
120,13,May,Virginia,1
121,13,Nov,Arizona,1
122,13,Nov,California,1
123,13,Nov,District of Columbia,0
124,13,Nov,Florida,4
125,13,Nov,Georgia,0
126,13,Nov,Indiana,0
127,13,Nov,Kentucky,1
128,13,Nov,Michigan,3
129,13,Nov,Minnesota,1
130,13,Nov,New York,4
131,13,Nov,Ohio,1
132,13,Nov,Oklahoma,4
133,13,Nov,Pennsylvania,0
134,13,Nov,Texas,6
135,13,Oct,Arizona,0
136,13,Oct,California,2
137,13,Oct,Connecticut,1
138,13,Oct,Florida,2
139,13,Oct,Nebraska,0
140,13,Oct,New York,0
141,13,Oct,North Carolina,1
142,13,Oct,Oklahoma,0
143,13,Oct,Pennsylvania,3
144,13,Oct,South Carolina,5
145,13,Oct,Texas,4
146,13,Sep,California,4
147,13,Sep,Colorado,0
148,13,Sep,Connecticut,1
149,13,Sep,District of Columbia,12
150,13,Sep,Florida,0
151,13,Sep,Georgia,3
152,13,Sep,Illinois,0
153,13,Sep,Indiana,2
154,13,Sep,Kansas,1
155,13,Sep,Michigan,2
156,13,Sep,Missouri,2
157,13,Sep,Nevada,0
158,13,Sep,New York,0
159,13,Sep,North Carolina,0
160,13,Sep,Ohio,0
161,13,Sep,Tennessee,5
162,13,Sep,Texas,5
163,13,Sep,Washington,0
164,13,Sep,West Virginia,0
165,14,Apr,Arizona,1
166,14,Apr,California,1
167,14,Apr,District of Columbia,0
168,14,Apr,Florida,2
169,14,Apr,Georgia,1
170,14,Apr,Illinois,1
171,14,Apr,Indiana,0
172,14,Apr,Louisiana,1
173,14,Apr,Massachusetts,0
174,14,Apr,New York,0
175,14,Apr,Oklahoma,0
176,14,Apr,Tennessee,5
177,14,Apr,Texas,4
178,14,Aug,California,7
179,14,Aug,District of Columbia,0
180,14,Aug,Florida,3
181,14,Aug,Georgia,3
182,14,Aug,Illinois,1
183,14,Aug,Louisiana,2
184,14,Aug,Massachusetts,0
185,14,Aug,Michigan,1
186,14,Aug,Minnesota,1
187,14,Aug,Missouri,0
188,14,Aug,Nevada,0
189,14,Aug,New Jersey,1
190,14,Aug,New Mexico,1
191,14,Aug,New York,1
192,14,Aug,Pennsylvania,2
193,14,Aug,Tennessee,1
194,14,Aug,Texas,3
195,14,Aug,Utah,0
196,14,Aug,Virginia,5
197,14,Aug,Wisconsin,0
198,14,Dec,California,1
199,14,Dec,Florida,3
200,14,Dec,Illinois,6
201,14,Dec,Indiana,0
202,14,Dec,Kentucky,1
203,14,Dec,Louisiana,0
204,14,Dec,Michigan,1
205,14,Dec,Mississippi,1
